,Name,Industry,Sector,Headquarters,Founded,Notes
56,SGAG,Consumer services,Broadcasting & entertainment,Singapore,2012,Social media website and news media company
57,Sheng Siong,Consumer services,Food retailers & wholesalers,Singapore,1985,Supermarkets
58,Shopee,Technology,Software,Singapore,2015,E-commerce platform
59,SilkAir,Consumer services,Airlines,Singapore,1992,"Regional airline, merged with Singapore Airlines"
60,Singapore Airlines,Consumer services,Airlines,Singapore,1947,SGX: S55
61,Singapore Airlines Cargo,Industrials,Delivery services,Singapore,2001,"Cargo airline, part of Singapore Airlines"
62,Singapore Exchange,Financials,Investment services,Singapore,1999,Exchange
63,Singapore Petroleum Company Limited,Oil & gas,Exploration & production,Singapore,1969,
64,SP Group,Utilities,Conventional electricity,Singapore,1995,Part of Temasek Holdings
65,Singapore Post,Industrials,Delivery services,Singapore,1819,SGX: S08
66,Singtel,Telecommunications,Mobile telecommunications,Singapore,1992,"Mobile network, SGX: Z74"
67,ST Engineering,Industrials,Diversified industrials,Singapore,1967,"Aerospace, electronics"
68,Standard Chartered Singapore,Financials,Banks,Singapore,1859,Subsidiary of Standard Chartered
69,StarHub,Telecommunications,Fixed-line telecommunications,Singapore,1998,SGX: T54
70,Systems on Silicon Manufacturing,Technology,Semiconductors,Singapore,1998,Manufacturing
71,Tangs,Consumer services,Broadline retailer,Singapore,1932,Department stores
72,Tee Yih Jia,Consumer goods,Food products,Singapore,1969,Food production
73,Temasek Holdings,Conglomerates,-,Singapore,1974,State-owned holding company
74,Thakral Corporation,Conglomerates,-,Singapore,1995[12],SGX: Y03
75,Tiger Airways Holdings,Consumer services,Airlines,Singapore,2007,
76,Twelve Cupcakes,Consumer goods,Food products,Singapore,2011,Confectionery
77,Vertex Venture Holdings,Financials,Equity investment instruments,Singapore,1988,Investment holdings
78,Ya Kun Kaya Toast,Consumer services,Restaurants & bars,Singapore,1944,Café chain
79,Yeo Hiap Seng,Consumer goods,Soft drinks,Singapore,1900,"SGX: Y03
, part of Far East Organization"
80,Wilmar,Basic Materials,Commodity chemicals,Singapore,1991,SGX: F34
